Time	Ampl		
-0.026336136	8.34		
-0.026335136	8.28		
-0.026334136	8.24		
-0.026333136	8.3		
-0.026332136	8.3		
-0.026331136	8.3		
-0.026330136	8.32		
-0.026329136	8.26		
-0.026328136	8.32		
-0.026327136	8.24		
-0.026326136	8.3		
-0.026325136	8.28		
-0.026324136	8.32		
-0.026323136	8.26		
-0.026322136	8.4		
-0.026321136	8.34		
-0.026320136	8.34		
-0.026319136	8.28		
-0.026318136	8.28		
-0.026317136	8.4		
-0.026316136	8.28		
-0.026315136	8.26		
-0.026314136	8.32		
-0.026313136	8.32		
-0.026312136	8.34		
-0.026311136	8.32		
-0.026310136	8.32		
-0.026309136	8.32		
-0.026308136	8.3		
-0.026307136	8.28		
-0.026306136	8.28		
-0.026305136	8.32		
-0.026304136	8.34		
-0.026303136	8.3		
-0.026302136	8.38		
-0.026301136	8.36		
-0.026300136	8.32		
-0.026299136	8.28		
-0.026298136	8.34		
-0.026297136	8.36		
-0.026296136	8.34		
-0.026295136	8.28		
-0.026294136	8.26		
-0.026293136	8.32		
-0.026292136	8.24		
-0.026291136	8.28		
-0.026290136	8.24		
-0.026289136	8.3		
-0.026288136	8.32		
-0.026287136	8.3		
-0.026286136	8.32		
-0.026285136	8.32		
-0.026284136	8.28		
-0.026283136	8.32		
-0.026282136	8.32		
-0.026281136	8.26		
-0.026280136	8.38		
-0.026279136	8.34		
-0.026278136	8.32		
-0.026277136	8.3		
-0.026276136	8.36		
-0.026275136	8.24		
-0.026274136	8.36		
-0.026273136	8.28		
-0.026272136	8.32		
-0.026271136	8.34		
-0.026270136	8.34		
-0.026269136	8.34		
-0.026268136	8.34		
-0.026267136	8.32		
-0.026266136	8.3		
-0.026265136	8.32		
-0.026264136	8.38		
-0.026263136	8.34		
-0.026262136	8.36		
-0.026261136	8.28		
-0.026260136	8.32		
-0.026259136	8.36		
-0.026258136	8.3		
-0.026257136	8.38		
-0.026256136	8.4		
-0.026255136	8.32		
-0.026254136	8.32		
-0.026253136	8.36		
-0.026252136	8.28		
-0.026251136	8.34		
-0.026250136	8.3		
-0.026249136	8.34		
-0.026248136	8.36		
-0.026247136	8.34		
-0.026246136	8.34		
-0.026245136	8.4		
-0.026244136	8.3		
-0.026243136	8.32		
-0.026242136	8.28		
-0.026241136	8.34		
-0.026240136	8.32		
-0.026239136	8.36		
-0.026238136	8.32		
-0.026237136	8.32		
-0.026236136	8.3		
-0.026235136	8.32		
-0.026234136	8.28		
-0.026233136	8.34		
-0.026232136	8.32		
-0.026231136	8.32		
-0.026230136	8.3		
-0.026229136	8.36		
-0.026228136	8.28		
-0.026227136	8.3		
-0.026226136	8.34		
-0.026225136	8.32		
-0.026224136	8.38		
-0.026223136	8.3		
-0.026222136	8.3		
-0.026221136	8.36		
-0.026220136	8.34		
-0.026219136	8.32		
-0.026218136	8.34		
-0.026217136	8.32		
-0.026216136	8.3		
-0.026215136	8.38		
-0.026214136	8.34		
-0.026213136	8.44		
-0.026212136	8.32		
-0.026211136	8.32		
-0.026210136	8.34		
-0.026209136	8.38		
-0.026208136	8.32		
-0.026207136	8.32		
-0.026206136	8.3		
-0.026205136	8.36		
-0.026204136	8.4		
-0.026203136	8.3		
-0.026202136	8.42		
-0.026201136	8.28		
-0.026200136	8.38		
-0.026199136	8.34		
-0.026198136	8.32		
-0.026197136	8.32		
-0.026196136	8.34		
-0.026195136	8.34		
-0.026194136	8.36		
-0.026193136	8.34		
-0.026192136	8.34		
-0.026191136	8.38		
-0.026190136	8.36		
-0.026189136	8.34		
-0.026188136	8.28		
-0.026187136	8.32		
-0.026186136	8.3		
-0.026185136	8.36		
-0.026184136	8.4		
-0.026183136	8.32		
-0.026182136	8.32		
-0.026181136	8.26		
-0.026180136	8.3		
-0.026179136	8.36		
-0.026178136	8.34		
-0.026177136	8.36		
-0.026176136	8.38		
-0.026175136	8.32		
-0.026174136	8.32		
-0.026173136	8.3		
-0.026172136	8.3		
-0.026171136	8.36		
-0.026170136	8.42		
-0.026169136	8.36		
-0.026168136	8.42		
-0.026167136	8.36		
-0.026166136	8.38		
-0.026165136	8.24		
-0.026164136	8.36		
-0.026163136	8.36		
-0.026162136	8.36		
-0.026161136	8.3		
-0.026160136	8.28		
-0.026159136	8.32		
-0.026158136	8.32		
-0.026157136	8.32		
-0.026156136	8.38		
-0.026155136	8.44		
-0.026154136	8.36		
-0.026153136	8.32		
-0.026152136	8.32		
-0.026151136	8.4		
-0.026150136	8.36		
-0.026149136	8.32		
-0.026148136	8.36		
-0.026147136	8.34		
-0.026146136	8.38		
-0.026145136	8.3		
-0.026144136	8.34		
-0.026143136	8.3		
-0.026142136	4.7		
-0.026141136	1.92		
-0.026140136	1.9		
-0.026139136	2		
-0.026138136	1.98		
-0.026137136	2		
-0.026136136	2		
-0.026135136	2.04		
-0.026134136	1.98		
-0.026133136	2.02		
-0.026132136	2.06		
-0.026131136	2.06		
-0.026130136	2.08		
-0.026129136	2.12		
-0.026128136	2.1		
-0.026127136	2.06		
-0.026126136	2.04		
-0.026125136	2.06		
-0.026124136	2.04		
-0.026123136	2.04		
-0.026122136	2.06		
-0.026121136	2.08		
-0.026120136	2.04		
-0.026119136	2		
-0.026118136	2.04		
-0.026117136	2.02		
-0.026116136	2.08		
-0.026115136	2.06		
-0.026114136	2.02		
-0.026113136	2.06		
-0.026112136	2		
-0.026111136	2		
-0.026110136	2.06		
-0.026109136	2.06		
-0.026108136	2		
-0.026107136	2.02		
-0.026106136	2.06		
-0.026105136	2.02		
-0.026104136	2.1		
-0.026103136	2.06		
-0.026102136	2		
-0.026101136	2.08		
-0.026100136	2.02		
-0.026099136	2.04		
-0.026098136	2.02		
-0.026097136	2.04		
-0.026096136	2		
-0.026095136	1.98		
-0.026094136	1.98		
-0.026093136	2.02		
-0.026092136	2.02		
-0.026091136	1.96		
-0.026090136	1.94		
-0.026089136	2.02		
-0.026088136	1.96		
-0.026087136	1.98		
-0.026086136	1.98		
-0.026085136	2		
-0.026084136	2.08		
-0.026083136	1.98		
-0.026082136	1.98		
-0.026081136	2		
-0.026080136	1.94		
-0.026079136	1.92		
-0.026078136	2.06		
-0.026077136	1.98		
-0.026076136	2		
-0.026075136	2		
-0.026074136	2.06		
-0.026073136	1.96		
-0.026072136	2		
-0.026071136	2		
-0.026070136	2		
-0.026069136	1.96		
-0.026068136	2.04		
-0.026067136	2.02		
-0.026066136	2.04		
-0.026065136	2.06		
-0.026064136	2.04		
-0.026063136	2.08		
-0.026062136	2		
-0.026061136	2		
-0.026060136	2		
-0.026059136	1.98		
-0.026058136	2		
-0.026057136	2.06		
-0.026056136	2.08		
-0.026055136	2		
-0.026054136	1.94		
-0.026053136	2.04		
-0.026052136	2.04		
